역명(한글),역명(영문),역명(로마자),역명(일본어),역명(중국어 간체),역명(중국어 번체)
장암,Jangam,Jangam ,チャンアム,长岩,長岩
도봉산,Dobongsan,Dobongsan,トボンサン,道峰山,道峰山
수락산,Suraksan,Suraksan,スラッサン,水落山,水落山
마들,Madeul,Madeul,マドゥル,马得,마들
노원,Nowon,Nowon ,ノウォン,芦原,蘆原
중계,Junggye,Junggye Hagye ,チュンゲ,中溪,中溪
하계,Hagye,Hagye,ハゲ,下溪,下溪
공릉,Gongneung ,Gongneung,コンヌン,孔陵,孔陵
태릉입구,Taereung,Taereung ,テルンイック,泰陵,泰陵入口
먹골,Meokgol,Meokgol,モッコル,墨谷,먹골
중화,Junghwa,Junghwa ,チュンファ,中和,中和
상봉,Sangbong ,Sangbong,サンボン,上凤,上鳳
면목,Myeonmok,Myeonmok ,ミョンモク,面牧,面牧
사가정,Sagajeong,Sagajeong,サガジョン,四佳亭,四佳亭
용마산,Yongmasan,Yongmasan,ヨンマサン,龙马山,龍馬山
중곡,Junggok,Junggok,チュンゴク,中谷,中谷
군자,Gunja ,Gunja,クンジャ,君子,君子
어린이대공원,Children's Grand Park ,Children's Grand park,オリニ·テゴンウォン,儿童大公园,어린이大公園
건대입구,Konkuk Univ.,Konkuk Univ. ,コンデイック,建国大学,建大入口
뚝섬유원지,Ttukseom Park,Ttukseom resort,トゥッソム·ユウォンジ,堤岛游园地,뚝섬遊園地
청담,Cheongdam,Cheongdam ,チョンダム,清潭,淸潭
강남구청,Gangnam-gu Office,Gangnam-gu Office,カンナムグチョン,江南区厅,江南區廳
학동,Hakdong,Hak-dong ,ハクトン,鹤洞,鶴洞
논현,Nonhyeon,Nonhyeon,ノンヒョン,论岘,論峴
반포,Banpo,Banpo ,パンポ,盘浦,盤浦
고속터미널,Express Bus Terminal,Express Bus Terminal,コソクターミナル,高速巴士客運站运站,高速터미널
내방,Naebang,Namseong,ネバン,內方,內方
총신대입구,Isu,Chongshin Univ.,イス,梨水,梨水
남성,Namseong,Namseong ,ナムソン,南城,南城
숭실대입구,Soongsil Univ. ,Soongsil Univ.,スンシルデイック,崇实大学,崇實大入口
상도,Sangdo,Sang-do ,サンド,上道,上道
장승배기,Jangseungbaegi,Jangseungbaegi ,チャンスンベギ,长丞拜基,장승배기
신대방삼거리,Sindaebangsamgeori,Sindaebangsamgeo-ri,シンデバンサムゴリ,新大方丁字路口,新大方삼거리
보라매,Boramae,Boramae,ポラメ,波拉美,보라매
신풍,Sinpung,Sinpung,シンプン,新丰,新豊
대림,Daerim ,Daerim,テリム,大林,大林
남구로,Namguro,Namgu-ro,ナムグロ,南九老,南九老
가산디지털단지,Gasan Digital Complex,Gasandijiteoldanji ,カサン·デジタルダンジ,加山数码园区,加山디지털團地
철산,Cheolsan,Cheolsan ,チョルサン,铁山,鐵山
광명사거리,Gwangmyeongsageori,Gwangmyeongsageo-ri ,クァンミョンサゴリ,光明十字路口,光明사거리
천왕,Cheonwang,Cheonwang,チョヌァン,天旺,天旺
온수,Onsu ,Onsu,オンス,温水,溫水
까치울,Kkachiul,Kkachiul,カチウル,喜鹊屋,-
부천종합운동장,Bucheon Stadium,Bucheon Sports Complex ,プチョン·チョンハブンドンジャン,富川綜合運動場,富川綜合運動場
춘의,Chunui,Chunui ,チュニ,春衣,春衣
신중동,Shinjungdong,Sinjung-dong ,シンジュンドン,新中洞,新中洞
부천시청,Bucheon City Hall,Bucheon City Hall ,プチョンシチョン,富川市厅,富川市廳
상동,Sangdong,Sang-dong ,サンドン,上洞,上洞
삼산체육관,Samsan Gymnasium,Samsancheyukgwan ,サムサン·チェユックァン,三山体育馆,三山體育館
굴포천,Gulpocheon,Gulpocheon,クルポチョン,掘浦川,掘浦川
부평구청,Bupyeong-gu Office,Bupyeong-gu Office,プピョングチョン,富平区厅,富平區廳
