역명(한글),역명(영문),역명(로마자),역명(일본어),역명(중국어 간체),역명(중국어 번체)
문산,Munsan,Munsan,ムンサン,文山,
파주,Paju,Paju,パジュ,坡州,
월롱,Wollong,Wollong,ウォルロン,月龙,
금촌,Geumchon,Geumchon,クムチョン,金村,
금릉,Geumneung,Geumneung,クムヌン,金陵,
운정,Unjeong,Unjeong,ウンジョン,云井,
야당,Yadang,Yadang,ヤダン,野塘,
탄현,Tanhyeon,Tanhyeon,タンヒョン,炭岘,
일산,Ilsan,Ilsan,イルサン,一山,
풍산,Pungsan,Pungsan,プンサン,枫山,
백마,Baengma,Baengma,ペンマ,白马,
곡산,Goksan,Goksan,コクサン,谷山,
대곡,Daegok,Daegok,テゴク,大谷,
능곡,Neunggok,Neunggok,ヌンゴク,陵谷,
행신,Haengsin,Haengsin,ヘンシン,幸信,
강매,Gangmae,Gangmae,カンメ,江梅,
화전,Hwajeon,Hwajeon,ファジョン,花田,
수색,Susaek,Susaek,スセク,水色,
디지털미디어시티,Digital Media City,Digital Media City,デジタルメディアシティ,数码媒体城,
가좌,Gajwa,Gajwa,カジュワ,加佐,
홍대입구,Hongik Univ.,Hongik Univ.,弘大入口,弘益大学,
서강대,Sogang Univ.,Sogang Univ.,ソガンデ,西江大,
공덕,Gongdeok,Gongdeok,孔徳,孔德,
효창공원앞,HyochangPark,Hyochang park ,ヒョチャンゴンウォンアプ,孝昌公園,孝昌公園앞
용산,Yongsan,Yongsan,ヨンサン,龙山,
이촌,Ichon,Ichon,イチョン,二村,
서빙고,Seobinggo,Seobinggo,ソビンゴ,西冰库站,
한남,Hannam,Hannam,ハンナム,汉南站,
옥수,Oksu,Oksu,オッス,玉水,
응봉,Eungbong,Eungbong,ウンボン,鹰峰站,
왕십리,Wangsimni,Wangsimni,ワンシムニ,往十里,
청량리,Cheongnyangni,Cheongnyangni,チョンニャンニ,清凉里,
회기,Hoegi,Hoegi,フェギ,回基,
중랑,Jungnang,Jungnang,チュンナン,中浪,
상봉,Sangbong,Sangbong,サンボン,上凤,
망우,Mangu,Mangu,マンウ,忘忧站,
양원,Yangwon,Yangwon,ヤンウォン,养源,
구리,Guri,Guri,クリ,九里,
도농,Donong,Donong,トノン,陶农,
양정,Yangjeong,Yangjeong,ヤンジョン,养正,
덕소,Deokso,Deokso,トッソ,德沼,
도심,Dosim,Dosim,トシム,陶深,
팔당,Paldang,Paldang,パルタン,八堂,
운길산,Ungilsan,Ungilsan,ウンギルサン,云吉山,
양수,Yangsu,Yangsu,ヤンス,两水,
신원,Sinwon,Sinwon,シヌォン,新院,
국수,Guksu,Guksu,ククス,菊秀,
아신,Asin,Asin,アシン,我新,
오빈,Obin,Obin,オビン,梧濱,
양평,Yangpyeong,Yangpyeong,ヤンピョン,杨平,
원덕,Wondeok,Wondeok,ウォンドク,元德,
용문,Yongmun,Yongmun,ヨンムン,龙门,
신촌,Sinchon,Sinchon,シンチョン,新村,新村
서울역,Seoul Station,Seoul Station,ソウルヨク,首尔站,首爾
