역명(한글),역명(영문),역명(로마자),역명(일본어),역명(중국어 간체),역명(중국어 번체)
광운대,Kwangwoon Univ.,Kwangwoon Univ.,クァンウンデ,光云大学,
상봉,Sangbong,Sangbong,サンボン,上凤,
망우,Mangu,Mangu,マンウ,忘忧,
신내,Sinnae,Sinnae,シンネ,新內,
갈매,Galmae,Galmae,カルメ,葛梅,
별내,Byeollae,Byeollae,ピョルレ,別內,
퇴계원,Toegyewon,Toegyewon,トェゲウォン,退溪院,
사릉,Sareung,Sareung,サルン,思陵,
금곡,Geumgok,Geumgok,クムゴク,金谷,
평내호평,Pyeongnae Hopyeong,Pyeongnae Hopyeong,ピョンネホピョン,坪內好坪,
천마산,Cheonmasan,Cheonmasan,チョンマサン,天摩山,
마석,Maseok,Maseok,マソク,磨石,
대성리,Daeseong-ri,Daeseong-ri,テソンニ,大成里,
청평,Cheongpyeong,Cheongpyeong,チョンピョン,淸平,
상천,Sangcheon,Sangcheon,サンチョン,上泉,
가평,Gapyeong,Gapyeong,カピョン,加平,
굴봉산,Gulbongsan,Gulbongsan,クルボンサン,屈峰山,
백양리,Baegyang-ri,Baegyang-ri,ペギャンニ,白楊里,
강촌,Gangchon,Gangchon,カンチョン,江村,
김유정,Gimyujeong,Gimyujeong,キミュジョン,金裕貞,
남춘천,Namchuncheon,Namchuncheon,ナムチュンチョン,南春川,
춘천,Chuncheon,Chuncheon,チュンチョン,春川,
