역명(한글),역명(영문),역명(로마자),역명(일본어),역명(중국어 간체),역명(중국어 번체)
서울,Seoul,Seoul,ソウル,首尔站,
공덕,Gongdeok,Gongdeok,孔徳,孔德,
홍대입구,Hongik Univ.,Hongik Univ.,弘大入口,弘益大学,
디지털미디어시티,Digital Media City,Digital Media City,デジタルメディアシティ,数码媒体城,
김포공항,Gimpo Int'l Airport,Gimpo Int'l Airport,金浦空港,金浦机场,
계양,Gyeyang,Gyeyang,桂陽,桂阳,
검암,Geomam,Geomam,黔岩,黔岩,
청라국제도시,Cheongna Int'l City,Cheongna Int'l City,青羅国際都市,青羅国际城站,
운서,Unseo,Unseo,雲西,云西,
공항화물청사,Incheon Int'l Airport Cargo Terminal,Incheon Int'l Airport Cargo Terminal,空港貨物ターミナル,机场货物厅舍,
인천국제공항,Incheon Int'l Airport,Incheon Int'l Airport,仁川国際空港,仁川国际机扬,
