역명(한글),역명(영문),역명(로마자),역명(일본어),역명(중국어 간체),역명(중국어 번체)
강남,Gangnam,Gangnam,ガンナム,江南,
양재,Yangjae,Yangjae,ヤンジェ,良才,
양재시민의숲,Yangjae Citizen's Forest,Yangjae Citizen's Forest,ヤンジェ·シミネスプ,良才市民之林,
청계산입구,Cheonggyesan,Cheonggyesan,チョンゲサンイック,淸溪山入口,
판교,Pangyo,Pangyo,パンギョ,板橋,
정자,Jeongja,Jeongja,チョンジャ,亭子,
동천,Dongcheon,Dongcheon,トンチョン,東川,
수지구청,Suji-gu Office,Suji-gu Office,スジグチョン,水枝區廳,
성복,Seongbok,Seongbok,ソンボク,星福,
상현,Sanghyeon,Sanghyeon,サンヒョン,上峴,
광교중앙,Gwangyo Jungang,Gwangyo Jungang,クァンギョジュンアン,光敎中央,
광교,Gwanggyo,Gwanggyo,クァンギョ,光敎,
