역명(한글),역명(영문),역명(로마자),역명(일본어),역명(중국어 간체),역명(중국어 번체)
기흥,Giheung,Giheung,キフン,器兴,
강남대,Kangnam Univ.,Kangnam Univ.,カンナムデ,江南大学 ,
지석,Jiseok,Jiseok,チソク,支石,
어정,Eojeong,Eojeong,オジョン,御井,
동백,Dongbaek,Dongbaek,トンペク,东栢,
초당,Chodang,Chodang,チョダン,草堂,
삼가,Samga,Samga,サムガ,三街,
시청·용인대,Yongin City Hall·Yongin Univ.,Yongin City Hall·Yongin Univ.,ヨンインシチョン·ヨンインデ,市厅.龙仁大学 ,
명지대,Myongji Univ.,Myongji Univ.,ミョンジデ,明知大学 ,
김량장,Gimnyangjang,Gimnyangjang,キムニャンジャン,金良场,
운동장·송담대,Stadium Complex·Songdam College,Stadium Complex·Songdam College,ウンドンジャン·ソンダムデ,运动场.松潭大,
고진,Gojin,Gojin,コジン,古陳,
보평,Bopyeong,Bopyeong,ポピョン,洑坪,
둔전,Dunjeon,Dunjeon,トゥンジョン,屯田,
전대·에버랜드,Jeondae·Everland,Jeondae·Everland,チョンデ·エバーランド,前垈·爱宝乐园,
