역명(한글),역명(영문),역명(로마자),역명(일본어),역명(중국어 간체),역명(중국어 번체)
북한산우이,Bukhansan Ui,Bukhansan Ui,プカンサンウイ,北汉山牛耳,北漢山牛耳
솔밭공원,Solbat Park,Solbat Park,ソルバッコンウォン,松林公园,松林公園
4.19민주묘지,April 19th National Cemetery,April 19th National Cemetery,サ.イルグミンジュミョジ,四一九民主墓地,
가오리,Gaori,Gaori,カオリ,加五里,
화계,Hwagye,Hwagye,ファゲ,华溪,華溪
삼양,Samyang,Samyang,サミャン,三阳,三陽
삼양사거리,Samyang Sageori,Samyang Sageori,サミャンサゴリ,三阳十字路口,
솔샘,Solsaem,Solsaem,ソルセム,松泉,
북한산보국문,Bukhansan Bogungmun,Bukhansan Bogungmun,プカンサンボグンムン,北汉山辅国门,北漢山輔國門
정릉,Jeongneung,Jeongneung,チョンヌン,贞陵,貞陵
성신여대입구,Sungshin Women's Univ.,Sungshin Women's Univ.,ソンシンヨデイック,诚信女子大学,誠信女大入口
보문,Bomun,Bomun,ポムン,普门,普門
신설동,Sinseol-dong,Sinseol-dong,シンソルトン,新设洞,新設洞
