역명(한글),역명(영문),역명(로마자),역명(일본어),역명(중국어 간체),역명(중국어 번체)
발곡,Balgok,Balgok,パルゴク,鉢谷,
회룡,Hoeryong,Hoeryong,フェリョン,回龙,
범골,Beomgol,Beomgol,ポムゴル,虎谷,
경전철의정부,LRT Uijeongbu,LRT Uijeongbu,キョンチョンチョル·ウィジョンブ,轻轨议政府,
의정부시청,Uijeongbu City Hall,Uijeongbu City Hall,ウィジョンブシチョン,议政府市厅,
흥선,Heungseon,Heungseon,ホンソン,兴宣,
의정부중앙,Uijeongbu Jung-ang,Uijeongbu Jung-ang,ウィジョンブチュンアン,议政府中央,
동오,Dong-o,Dong-o,トンオ,东梧,
새말,Sae-mal,Sae-mal,セマル,赛马,
경기도청북부청사,Gyeonggi Provincial Government Northern Office,Gyeonggi Provincial Government Northern Office,キョンギドチョンブックブチョンサ,京畿道厅 北部厅舍,
효자,Hyoja,Hyoja,ヒョジャ,孝子,
곤제,Gonjae,Gonjae,コンジェ,昆弟,
어룡,Eoryong,Eoryong,オリョン,鱼龙,
송산,Songsan,Songsan,ソンサン,松山,
탑석,Tapseok,Tapseok,タプソク,塔石,
