역명(한글),역명(영문),역명(로마자),역명(일본어),역명(중국어 간체),역명(중국어 번체)
계양,Gyeyang,Gyeyang,ケヤン,桂阳,桂陽
귤현,Gyulhyeon,Gyulhyeon,キュルチョン,橘岘,橘峴
박촌,Bakchon,Bakchon,パクチョン,朴村,朴村
임학,Imhak,Imhak,イムハク,林鹤,林鶴
계산,Gyesan,Gyesan,ケサン,桂山,桂山
경인교대입구,Gyeong-in  Nat'l Univ. of Education,Gyeongin Nat'l Univ. of Education,キョンインギョデイック,京仁敎大入口,京仁敎大入口
작전,Jakjeon,Jakjeon,チャクチョン,鹊田,鵲田
갈산,Galsan,Galsan,カルサン,葛山,葛山
부평구청,Bupyeong-gu Office,Bupyeong-gu Office,プピョングチョン,富平区厅,富平區廳
부평시장,Bupyeong Market,Bupyeong Market,プピョンシジャン,富平市场,富平市場
부평,Bupyeong,Bupyeong,プピョン,富平,富平
동수,Dongsu,Dongsu,トンス,东树,東樹
부평삼거리,Bupyeongsamgeori,Bupyeongsamgeo-ri,プピョンサムゴリ,富平丁字路口,富平三거리
간석오거리,Ganseogogeori,Ganseogogeo-ri,間石オゴリ,间石五岔路口,間石五거리
인천시청,Incheon City Hall,Incheon City Hall,インチョンシチョン,仁川市厅,仁川市廳
예술회관,Arts Center,Arts Center,イェスルフェグァン,艺术会馆,藝術會館
인천터미널,Incheon Bus Terminal,Incheon Terminal,仁川ターミナル,仁川客运站,仁川터미널
문학경기장,Munhak Sports Complex,Munhak Stadium,文鶴競技場,文鹤竞技场,文鶴競技場
선학,Seonhak,Seonhak,ソンハク,仙鹤,仙鶴
신연수,Sinyeonsu,Sinyeonsu,シニョンス,新延寿,新延壽
원인재,Woninjae,Woninjae,ウァニンジエ,源仁斋,源仁齋
동춘,Dongchun,Dongchun,トンチュン,东春,東春
동막,Dongmak,Dongmak,トンマク,东幕,東幕
캠퍼스타운,Campus town,Kaempeoseutaun,キャンパスタウン,,- 
테크노파크,Technopark,Tekeunopakeu,テクノパーク,科技园,-
지식정보단지,BIT Zone,Jisikjeongbodanji,知識情報団地,知识情报团地,知識情報團地
인천대입구,Univ. of Incheon,Univ. of Incheon,インチョンデイック,仁川大入口,仁川大入口
센트럴파크,Central Park,Senteureolpakeu,セントラルパーク,中央公园,-
국제업무지구,Int'l Business District,Gukjeeommuji-gu,ククチェオンムジグ,国际业务地区,國際業務地區
